Year,City,Below 6 Years- M,Below 6 Years- F,Below 6 Years- T,6 to 12 yrs- M,6 to 12 yrs- F,6 to 12 yrs- T,12  to 16 yrs- M,12  to 16 yrs- F,12  to 16 yrs- T,16  to 18 yrs- M,16  to 18 yrs- F,16  to 18 yrs- T,18 to 30 yrs- M,18 to 30 yrs- F,18 to 30 yrs- T,30 to 60 yrs- M,30 to 60 yrs- F,30 to 60 yrs- T,Above 60 yrs- M,Above 60 yrs- F,Above 60 yrs- T,,,,,,
2019,Hyderabad,12,8,20,6,16,22,9,53,62,2,78,80,11,68,79,82,173,255,2,0,2,,,,,,
2019,Indore,4,1,5,21,18,39,94,157,251,57,240,297,3,5,8,4,1,5,0,0,0,,,,,,
2019,Jaipur,2,3,5,6,13,19,77,136,213,61,213,274,84,136,220,82,20,102,0,0,0,,,,,,
2019,Kanpur,0,0,0,12,11,23,27,13,40,42,31,73,21,83,104,10,36,46,1,5,6,,,,,,
2019,Kochi,0,1,1,1,1,2,1,6,7,0,0,0,5,3,8,4,0,4,0,0,0,,,,,,
2019,Kolkata,6,14,20,30,32,62,20,120,140,7,99,106,14,8,22,11,37,48,0,0,0,,,,,,
2019,Kozhikode,0,0,0,0,0,0,1,6,7,0,10,10,3,3,6,4,0,4,0,0,0,,,,,,
2019,Lucknow,0,0,0,0,0,0,0,22,22,0,14,14,19,214,233,0,0,0,0,0,0,,,,,,
2019,Mumbai,24,21,45,137,58,195,436,549,985,206,706,912,12,12,24,17,2,19,4,1,5,,,,,,
2019,Nagpur,1,0,1,11,3,14,68,188,256,33,190,223,4,25,29,3,10,13,0,0,0,,,,,,
2019,Patna,0,0,0,10,26,36,60,43,103,4,62,66,102,326,428,33,129,162,0,0,0,,,,,,
2019,Pune,6,4,10,28,11,39,85,279,364,43,184,227,15,7,22,7,2,9,1,0,1,,,,,,
2019,Surat,8,4,12,33,14,47,76,97,173,21,62,83,14,27,41,19,1,20,0,0,0,,,,,,
2020,Ahmedabad,1,2,3,9,9,18,38,37,75,15,37,52,16,5,21,16,1,17,0,1,1,,,,,,
2020,Bengaluru,9,5,14,19,7,26,86,198,284,58,272,330,22,10,32,32,1,33,3,0,3,,,,,,
2020,Chennai,1,3,4,0,1,1,0,5,5,0,4,4,8,3,11,12,2,14,0,0,0,,,,,,
2020,Coimbatore,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,,,,,,
2020,Delhi,42,27,69,213,155,368,524,1405,1929,242,1162,1404,87,146,233,70,56,126,4,1,5,,,,,,
2020,Ghaziabad,0,0,0,1,2,3,1,17,18,2,45,47,1,0,1,6,3,9,0,0,0,,,,,,
2020,Hyderabad,0,0,0,0,11,11,0,33,33,0,51,51,6,204,210,88,53,141,5,0,5,,,,,,
2020,Indore,4,4,8,14,10,24,63,135,198,38,205,243,2,4,6,1,0,1,0,0,0,,,,,,
2020,Jaipur,0,3,3,11,8,19,49,107,156,40,205,245,30,49,79,24,10,34,0,0,0,,,,,,
2020,Kanpur,0,0,0,11,6,17,17,12,29,26,13,39,2,84,86,6,46,52,0,0,0,,,,,,
2020,Kochi,0,0,0,1,1,2,0,1,1,0,4,4,4,1,5,2,1,3,0,0,0,,,,,,
2020,Kolkata,4,5,9,25,50,75,21,85,106,12,64,76,12,13,25,11,6,17,0,0,0,,,,,,
2020,Kozhikode,0,0,0,0,0,0,1,4,5,2,3,5,0,0,0,1,1,2,0,0,0,,,,,,
2020,Lucknow,8,0,8,12,14,26,42,82,124,30,164,194,47,339,386,0,0,0,0,0,0,,,,,,
2020,Mumbai,18,18,36,77,49,126,164,302,466,124,398,522,8,4,12,15,2,17,0,0,0,,,,,,
2020,Nagpur,3,1,4,8,5,13,42,80,122,17,180,197,15,20,35,7,5,12,0,0,0,,,,,,
2020,Patna,0,0,0,4,29,33,6,26,32,3,11,14,52,60,112,155,81,236,0,0,0,,,,,,
2020,Pune,3,12,15,10,13,23,45,180,225,21,149,170,4,1,5,2,0,2,0,0,0,,,,,,
2020,Surat,3,5,8,15,8,23,22,55,77,11,18,29,13,4,17,12,2,14,1,0,1,,,,,,
2021,Ahmedabad,1,1,2,8,8,16,28,38,66,25,35,60,25,5,30,13,3,16,1,0,1,,,,,,
2021,Bengaluru,3,4,7,29,9,38,109,239,348,62,327,389,17,10,27,29,3,32,0,0,0,,,,,,
2021,Chennai,1,3,4,1,2,3,1,7,8,2,8,10,19,3,22,18,4,22,5,0,5,,,,,,
2021,Coimbatore,0,3,3,0,1,1,0,2,2,0,0,0,0,0,0,5,0,5,0,0,0,,,,,,
2021,Delhi,56,51,107,294,286,580,662,1901,2563,432,1604,2036,114,265,379,66,55,121,2,1,3,,,,,,
2021,Ghaziabad,0,0,0,0,6,6,0,9,9,0,28,28,6,1,7,0,0,0,0,0,0,,,,,,
2021,Hyderabad,0,0,0,0,18,18,0,36,36,0,54,54,0,0,0,55,294,349,47,9,56,,,,,,
2021,Indore,4,4,8,28,34,62,64,195,259,84,286,370,2,4,6,2,0,2,1,0,1,,,,,,
2021,Jaipur,1,0,1,16,2,18,36,119,155,64,170,234,40,41,81,57,78,135,0,0,0,,,,,,
2021,Kanpur,0,0,0,9,7,16,16,12,28,16,17,33,2,33,35,4,33,37,1,2,3,,,,,,
2021,Kochi,0,0,0,0,0,0,1,4,5,0,5,5,2,1,3,0,0,0,0,0,0,,,,,,
2021,Kolkata,1,2,3,7,19,26,39,115,154,21,99,120,9,5,14,16,14,30,0,0,0,,,,,,
2021,Kozhikode,0,0,0,1,3,4,0,11,11,0,5,5,0,0,0,2,0,2,0,0,0,,,,,,
2021,Lucknow,6,11,17,12,39,51,28,117,145,43,134,177,28,355,383,0,0,0,0,0,0,,,,,,
2021,Mumbai,15,7,22,72,49,121,192,551,743,170,541,711,13,10,23,7,0,7,0,0,0,,,,,,
2021,Nagpur,1,1,2,11,8,19,49,140,189,17,183,200,6,12,18,3,0,3,1,0,1,,,,,,
2021,Patna,0,0,0,8,17,25,17,21,38,28,6,34,72,52,124,160,95,255,59,14,73,,,,,,
2021,Pune,1,4,5,14,9,23,9,287,296,20,214,234,5,5,10,7,2,9,0,0,0,,,,,,
2021,Surat,4,7,11,18,13,31,47,78,125,15,35,50,11,21,32,9,16,25,0,0,0,,,,,,
